"pathway","vanilla_raw_p","genept_raw_p","embedding_rank","projected_rank","vanilla_adjusted_p","vanilla_qval","genept_adjusted_p","genept_qval","vanilla_rank","genept_rank","rank_delta","l2_raw_p","l2_adjusted_p","l2_qval","l2_rank"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",0.000160158462101912,0.000313688994347936,83,70,0.0196994908385352,1.30596515981639,0.0385837463047961,1.18894726823464,10,7,-3,0.0513887607461245,1,0,77
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",0.288162930520753,0.420283707542506,36,33,1,0,1,0,84,80,-4,0.999303153456956,1,0,78
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",0.0513887607461245,0.351986208769717,23,21,1,0,1,0,85,81,-4,0.998724216773701,1,0,79
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",0.983130561728571,0.989331698428969,33,28,1,0,1,0,86,82,-4,1,1,0,80
"REACTOME_HS_GAG_BIOSYNTHESIS",1,1,17,13,1,0,1,0,87,83,-4,1,1,0,81
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",0.179741341532766,0.631270397757246,42,38,1,0,1,0,88,84,-4,0.179741341532766,1,0,82
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",0.00059618767048381,0.00577645522630862,79,71,0.0733310834695086,1.06522856619588,0.71050399283596,0.385270654364906,13,19,6,0.0351222601892017,1,0,83
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",0.230392335941705,0.808288747360044,19,15,1,0,1,0,89,85,-4,0.999999999999965,1,0,84
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",0.00059618767048381,0.00196887460329715,25,21,0.0733310834695086,1.06522856619588,0.242171576205549,0.784778205325666,14,14,0,0.999998138909655,1,0,85
"REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES",0.996087934623775,0.999630586025759,20,16,1,0,1,0,90,86,-4,1,1,0,86
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",4.62765891657924e-09,5.26903195422322e-11,295,275,5.69202046739247e-07,2.49894648741163,6.48090930369456e-09,2.8615317674606,1,1,0,0.0010996776918826,0.13526035610156,0.932110226066041,12
"REACTOME_METABOLISM_OF_CARBOHYDRATES",3.52341775794401e-06,0.00577645522630862,224,208,0.000433380384227113,1.83388406114409,0.71050399283596,0.385270654364906,4,20,16,0.0150822934297104,1,0,87
"REACTOME_METABOLISM_OF_COFACTORS",0.179741341532766,0.0351222601892017,19,19,1,0,1,0,91,87,-4,0.631270397757246,1,0,88
"REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS",0.998724216773701,0.999809962501969,26,20,1,0,1,0,92,88,-4,1,1,0,89
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES",0.999999999999496,0.999999999929255,15,14,1,0,1,0,93,89,-4,1,1,0,90
"REACTOME_METABOLISM_OF_NUCLEOTIDES",0.49107566468588,0.0150822934297104,82,81,1,0,1,0,94,90,-4,0.00196887460329715,0.242171576205549,0.784778205325666,15
