lineage,pathway,method,significant_0h_vs_12h,significant_12h_vs_24h,significant_0h_vs_24h,descriptive_timing_pattern
CD4,REACTOME_BIOLOGICAL_OXIDATIONS,l2,True,True,True,persistent
CD4,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,vanilla,True,False,True,early
CD4,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,genept,True,False,True,early
CD4,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,l2,True,False,True,early
CD4,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,vanilla,True,False,True,early
CD4,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,l2,False,False,True,endpoint_only
CD4,REACTOME_CHOLESTEROL_BIOSYNTHESIS,vanilla,True,False,True,early
CD4,REACTOME_CHOLESTEROL_BIOSYNTHESIS,genept,True,False,True,early
CD4,REACTOME_CHOLESTEROL_BIOSYNTHESIS,l2,False,False,True,endpoint_only
CD4,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,genept,True,False,True,early
CD4,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,l2,False,False,False,none
CD4,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,vanilla,True,False,True,early
CD4,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,genept,True,False,True,early
CD4,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,l2,False,False,True,endpoint_only
CD4,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,vanilla,True,False,True,early
CD4,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,genept,True,False,True,early
CD4,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,l2,False,False,False,none
CD4,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,l2,False,False,False,none
CD4,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,vanilla,False,False,True,endpoint_only
