dataset_index,dataset_gene,match_type,embedding_key
9571,EIF2S3B,exact,EIF2S3B
9572,MAGOHB,exact,MAGOHB
9573,YBX3,exact,YBX3
9574,PRH1,exact,PRH1
9575,PRR4,exact,PRR4
9576,TAS2R14,exact,TAS2R14
9577,TAS2R20,exact,TAS2R20
9578,TAS2R19,exact,TAS2R19
9579,TAS2R31,exact,TAS2R31
9580,TAS2R46,exact,TAS2R46
9581,TAS2R30,exact,TAS2R30
9582,SMIM10L1,exact,SMIM10L1
9583,PRB3,exact,PRB3
9584,LINC01252,exact,LINC01252
9585,ETV6,exact,ETV6
9586,BCL2L14,exact,BCL2L14
9587,LRP6,exact,LRP6
9588,MANSC1,exact,MANSC1
9589,LOH12CR2,exact,LOH12CR2
9590,BORCS5,exact,BORCS5
9591,DUSP16,exact,DUSP16
9592,CREBL2,exact,CREBL2
9593,AC008115.4,unmatched,
9594,GPR19,exact,GPR19
9595,CDKN1B,exact,CDKN1B
9596,APOLD1,exact,APOLD1
9597,DDX47,exact,DDX47
9598,GPRC5D-AS1,exact,GPRC5D-AS1
9599,HEBP1,exact,HEBP1
9600,FAM234B,exact,FAM234B
9601,ATF7IP,exact,ATF7IP
9602,AC010168.1,unmatched,
9603,HIST4H4,official_alias,HIST4H4
9604,H2AFJ,official_alias,H2AFJ
9605,WBP11,exact,WBP11
9606,C12orf60,exact,C12orf60
9607,MGP,exact,MGP
9608,ERP27,exact,ERP27
9609,ARHGDIB,exact,ARHGDIB
9610,PTPRO,exact,PTPRO
9611,EPS8,exact,EPS8
9612,STRAP,exact,STRAP
9613,DERA,exact,DERA
9614,PLEKHA5,exact,PLEKHA5
9615,AEBP2,exact,AEBP2
9616,PYROXD1,exact,PYROXD1
9617,RECQL,exact,RECQL
9618,GOLT1B,exact,GOLT1B
9619,LDHB,exact,LDHB
9620,CMAS,exact,CMAS
9621,ST8SIA1,exact,ST8SIA1
9622,C2CD5,exact,C2CD5
9623,AC053513.1,unmatched,
9624,AC087241.3,unmatched,
9625,ETNK1,exact,ETNK1
9626,LRMP,official_alias,LRMP
9627,CASC1,unmatched,
9628,ETFRF1,exact,ETFRF1
9629,KRAS,exact,KRAS
9630,AC092794.1,unmatched,
9631,AC092794.2,unmatched,
9632,AC087239.1,unmatched,
9633,AC024145.1,unmatched,
