comparison,pathway,detection_state,gene,vanilla_delta_score,genept_delta_score,vanilla_supporting_rank,genept_supporting_rank,vanilla_absolute_rank,genept_absolute_rank,vanilla_absolute_percentile,genept_absolute_percentile,absolute_percentile_difference_genept_minus_vanilla
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,NUS1,0.544766133105719,-0.278883708402879,6.5,12.5,13.5,12.5,0.2647058823529412,0.3235294117647059,0.05882352941176472
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,PGM1,-1.24674594506362,0.758937488761304,16.0,3.0,6.0,6.0,0.7058823529411765,0.7058823529411765,0.0
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,PMM2,1.47984074160387,1.7701994655497,1.5,1.0,3.5,1.0,0.8529411764705882,1.0,0.1470588235294118
cd4_0h_vs_12h,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,Vanilla-only significant,SRD5A3,0.0,-0.570833100414529,10.5,14.5,17.5,8.5,0.029411764705882353,0.5588235294117647,0.5294117647058824
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSA,0.0,0.518835066685553,30.5,10.0,31.5,22.0,0.12857142857142856,0.4,0.27142857142857146
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSB,0.0,-0.278883708402879,30.5,21.5,31.5,26.5,0.12857142857142856,0.2714285714285714,0.14285714285714285
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSD,0.0,0.26588242470284,30.5,13.0,31.5,31.0,0.12857142857142856,0.14285714285714285,0.01428571428571429
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSG,2.27899070555344,0.518835066685553,3.0,10.0,3.0,22.0,0.9428571428571428,0.4,-0.5428571428571428
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSK,1.63484379879578,-1.5256296534665,6.5,35.5,6.5,1.5,0.8428571428571429,0.9857142857142858,0.1428571428571429
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ASAH1,3.10631194051676,1.20095703320099,2.0,2.5,2.0,4.5,0.9714285714285714,0.9,-0.0714285714285714
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,ASAH2,0.305073209619947,-0.278883708402879,24.0,21.5,25.0,26.5,0.3142857142857143,0.2714285714285714,-0.04285714285714287
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,B3GALNT1,0.597022601631597,-0.278883708402879,21.0,21.5,21.0,26.5,0.42857142857142855,0.2714285714285714,-0.15714285714285714
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,B4GALNT1,0.0,0.0,30.5,16.5,31.5,34.5,0.12857142857142856,0.04285714285714286,-0.0857142857142857
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,CERK,1.14178873473732,0.758937488761304,12.0,7.0,12.0,16.0,0.6857142857142857,0.5714285714285714,-0.11428571428571432
cd4_0h_vs_12h,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Vanilla-only significant,CPTP,0.875906310034476,-1.19415593182466,16.5,32.5,16.5,7.5,0.5571428571428572,0.8142857142857143,0.2571428571428571
