dataset_index,dataset_gene,match_type,embedding_key
5349,NIPSNAP2,exact,NIPSNAP2
5350,MRPS17,exact,MRPS17
5351,PSPH,exact,PSPH
5352,CCT6A,exact,CCT6A
5353,SUMF2,exact,SUMF2
5354,PHKG1,exact,PHKG1
5355,CHCHD2,exact,CHCHD2
5356,NUPR2,exact,NUPR2
5357,AC092634.3,unmatched,
5358,ZNF727,exact,ZNF727
5359,ZNF736,exact,ZNF736
5360,ZNF680,exact,ZNF680
5361,ZNF107,exact,ZNF107
5362,ZNF138,exact,ZNF138
5363,ZNF273,exact,ZNF273
5364,ZNF117,exact,ZNF117
5365,ERV3-1,exact,ERV3-1
5366,ZNF92,exact,ZNF92
5367,VKORC1L1,exact,VKORC1L1
5368,GUSB,exact,GUSB
5369,ASL,exact,ASL
5370,CRCP,exact,CRCP
5371,TPST1,exact,TPST1
5372,AC008267.5,unmatched,
5373,KCTD7,exact,KCTD7
5374,RABGEF1,exact,RABGEF1
5375,AC027644.3,unmatched,
5376,AC073335.2,unmatched,
5377,TMEM248,exact,TMEM248
5378,SBDS,exact,SBDS
5379,TYW1,exact,TYW1
5380,AC006480.2,unmatched,
5381,LINC01372,unmatched,
5382,AUTS2,exact,AUTS2
5383,TYW1B,exact,TYW1B
5384,POM121,exact,POM121
5385,AC211476.2,unmatched,
5386,NSUN5,exact,NSUN5
5387,BAZ1B,exact,BAZ1B
5388,BCL7B,exact,BCL7B
5389,TBL2,exact,TBL2
5390,MLXIPL,exact,MLXIPL
5391,VPS37D,exact,VPS37D
5392,DNAJC30,exact,DNAJC30
5393,BUD23,exact,BUD23
5394,STX1A,exact,STX1A
5395,ABHD11,exact,ABHD11
5396,LIMK1,exact,LIMK1
5397,EIF4H,exact,EIF4H
5398,LAT2,exact,LAT2
5399,RFC2,exact,RFC2
5400,CLIP2,exact,CLIP2
5401,GTF2I,exact,GTF2I
5402,NCF1,exact,NCF1
5403,GTF2IRD2,exact,GTF2IRD2
5404,CASTOR2,exact,CASTOR2
5405,RCC1L,exact,RCC1L
5406,GTF2IRD2B,exact,GTF2IRD2B
5407,AC211486.5,unmatched,
5408,TRIM73,exact,TRIM73
5409,POM121C,exact,POM121C
5410,SPDYE5,exact,SPDYE5
5411,HIP1,exact,HIP1
5412,RHBDD2,exact,RHBDD2
5413,POR,exact,POR
5414,TMEM120A,exact,TMEM120A
5415,STYXL1,exact,STYXL1
5416,MDH2,exact,MDH2
5417,HSPB1,exact,HSPB1
5418,YWHAG,exact,YWHAG
5419,ZP3,exact,ZP3
5420,DTX2,exact,DTX2
5421,SPDYE16,exact,SPDYE16
5422,POMZP3,exact,POMZP3
5423,CCDC146,exact,CCDC146
5424,FGL2,exact,FGL2
5425,GSAP,exact,GSAP
5426,PTPN12,exact,PTPN12
5427,APTR,exact,APTR
5428,RSBN1L,exact,RSBN1L
5429,TMEM60,exact,TMEM60
5430,PHTF2,exact,PHTF2
5431,MAGI2,exact,MAGI2
5432,GNAI1,exact,GNAI1
5433,SEMA3E,exact,SEMA3E
5434,SEMA3A,exact,SEMA3A
5435,GRM3,exact,GRM3
5436,KIAA1324L,official_alias,KIAA1324L
5437,AC005076.1,unmatched,
5438,DMTF1,exact,DMTF1
5439,TMEM243,exact,TMEM243
5440,TP53TG1,exact,TP53TG1
5441,CROT,exact,CROT
5442,ABCB4,exact,ABCB4
5443,ABCB1,exact,ABCB1
5444,RUNDC3B,exact,RUNDC3B
5445,SLC25A40,exact,SLC25A40
5446,DBF4,exact,DBF4
5447,ADAM22,exact,ADAM22
5448,SRI,exact,SRI
5449,STEAP4,exact,STEAP4
5450,AC004969.1,unmatched,
5451,GTPBP10,exact,GTPBP10
5452,CLDN12,exact,CLDN12
5453,MTERF1,exact,MTERF1
5454,AKAP9,exact,AKAP9
5455,CYP51A1,exact,CYP51A1
5456,KRIT1,exact,KRIT1
5457,ANKIB1,exact,ANKIB1
5458,GATAD1,exact,GATAD1
5459,ERVW-1,exact,ERVW-1
5460,PEX1,exact,PEX1
5461,RBM48,exact,RBM48
5462,FAM133B,exact,FAM133B
5463,CDK6,exact,CDK6
5464,SAMD9,exact,SAMD9
5465,SAMD9L,exact,SAMD9L
5466,VPS50,exact,VPS50
5467,BET1,exact,BET1
5468,CASD1,exact,CASD1
5469,SGCE,exact,SGCE
5470,PON2,exact,PON2
5471,SLC25A13,exact,SLC25A13
5472,SEM1,exact,SEM1
5473,SDHAF3,exact,SDHAF3
5474,ASNS,exact,ASNS
5475,LMTK2,exact,LMTK2
5476,TECPR1,exact,TECPR1
5477,BRI3,exact,BRI3
5478,TRRAP,exact,TRRAP
5479,SMURF1,exact,SMURF1
5480,ARPC1A,exact,ARPC1A
5481,ARPC1B,exact,ARPC1B
5482,PDAP1,exact,PDAP1
5483,BUD31,exact,BUD31
5484,PTCD1,exact,PTCD1
5485,ATP5MF-PTCD1,exact,ATP5MF-PTCD1
5486,CPSF4,exact,CPSF4
5487,ATP5MF,exact,ATP5MF
5488,ZNF789,exact,ZNF789
5489,ZNF394,exact,ZNF394
5490,ZKSCAN5,exact,ZKSCAN5
5491,FAM200A,exact,FAM200A
5492,ZNF655,exact,ZNF655
5493,TMEM225B,exact,TMEM225B
5494,ZSCAN25,exact,ZSCAN25
5495,CYP3A5,exact,CYP3A5
5496,TRIM4,exact,TRIM4
5497,GJC3,exact,GJC3
5498,ZKSCAN1,exact,ZKSCAN1
5499,ZSCAN21,exact,ZSCAN21
5500,ZNF3,exact,ZNF3
5501,COPS6,exact,COPS6
5502,MCM7,exact,MCM7
5503,AP4M1,exact,AP4M1
5504,TAF6,exact,TAF6
5505,AC073842.2,unmatched,
5506,CNPY4,exact,CNPY4
5507,MBLAC1,exact,MBLAC1
5508,LAMTOR4,exact,LAMTOR4
5509,C7orf43,official_alias,C7orf43
5510,GAL3ST4,exact,GAL3ST4
5511,GPC2,exact,GPC2
5512,STAG3,exact,STAG3
5513,CASTOR3,unmatched,
5514,PVRIG,exact,PVRIG
5515,SPDYE3,exact,SPDYE3
5516,PILRB,exact,PILRB
5517,PILRA,exact,PILRA
5518,ZCWPW1,exact,ZCWPW1
5519,MEPCE,exact,MEPCE
5520,PPP1R35,exact,PPP1R35
