target_index,comparison,pathway,detection_state,control,true_raw_p,true_score,control_median_score,true_minus_control_median_score,true_percentile_among_control,fraction_control_ge_true,fraction_control_significant,empirical_upper_p,empirical_lower_p,empirical_upper_p_bh30,empirical_lower_p_bh30
25,cd4_0h_vs_24h,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,Vanilla-only significant,random,0.00577645522630862,2.238338588554161,4.41877294150378,-2.1804343529496193,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
26,cd4_0h_vs_24h,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,4.1005233197136,-1.1417887347373163,0.1485148514851485,0.86,0.8,0.8613861386138614,0.1485148514851485,0.99009900990099,0.4752475247524752
26,cd4_0h_vs_24h,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,3.79545011009365,-0.8367155251173659,0.019801980198019802,0.99,0.88,0.9900990099009901,0.019801980198019802,1.0,0.034944670937682
27,cd4_0h_vs_24h,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Vanilla-only significant,permuted,0.0010996776918826,2.958734584976284,2.95873458497628,3.9968028886505635e-15,0.6237623762376238,0.38,0.26,0.38613861386138615,0.6237623762376238,0.8910891089108911,0.9482102056359482
27,cd4_0h_vs_24h,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Vanilla-only significant,random,0.0010996776918826,2.958734584976284,3.79545011009365,-0.8367155251173659,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
28,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,3.22461700967912,4.440892098500626e-15,0.5841584158415841,0.42,0.42,0.42574257425742573,0.5841584158415841,0.9123055162659123,0.9482102056359482
28,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,3.503500718082,-0.27888370840287546,0.36633663366336633,0.64,0.64,0.6435643564356436,0.36633663366336633,1.0,0.49954995499549953
29,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,Vanilla-only significant,permuted,0.00059618767048381,3.2246170096791245,4.1005233197136,-0.8759063100344759,0.15841584158415842,0.85,0.85,0.8514851485148515,0.15841584158415842,0.99009900990099,0.4752475247524752
29,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,Vanilla-only significant,random,0.00059618767048381,3.2246170096791245,5.09498781691362,-1.8703708072344956,0.009900990099009901,1.0,1.0,1.0,0.009900990099009901,1.0,0.018564356435643563
30,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,GenePT-only significant,permuted,3.81265104892234e-05,4.418772941503782,2.70578194299357,1.7129909985102123,0.9504950495049505,0.05,0.21,0.0594059405940594,0.9504950495049505,0.6683168316831682,0.9504950495049503
30,cd4_0h_vs_24h,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,GenePT-only significant,random,3.81265104892234e-05,4.418772941503782,2.95873458497628,1.4600383565275021,1.0,0.0,0.1,0.009900990099009901,1.0,0.07425742574257425,1.0
