target_index,comparison,group_a,group_b,pathway,detection_state,n_paired_genes,control,replicate_id,seed,mapping_changed_fraction,vector_multiset_preserved,norm_max_difference,raw_p,adjusted_p,qval,score,significant
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,42.0,20261854.0,1.0,True,0.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,43.0,20261855.0,1.0,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,44.0,20261856.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,45.0,20261857.0,1.0,True,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,46.0,20261858.0,0.941176470588235,True,0.0,0.0010996776918826,0.13526035610156,0.932110226066041,2.95873458497628,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,47.0,20261859.0,0.941176470588235,True,0.0,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,48.0,20261860.0,1.0,True,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,49.0,20261861.0,1.0,True,0.0,8.03548663493119e-06,0.000988364856096536,1.73351743731473,5.09498781691362,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,50.0,20261862.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,51.0,20261863.0,1.0,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,52.0,20261864.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,53.0,20261865.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,54.0,20261866.0,1.0,True,0.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,55.0,20261867.0,0.941176470588235,True,0.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,56.0,20261868.0,0.941176470588235,True,0.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,57.0,20261869.0,0.941176470588235,True,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,58.0,20261870.0,1.0,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,59.0,20261871.0,1.0,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,60.0,20261872.0,1.0,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,61.0,20261873.0,1.0,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,62.0,20261874.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,63.0,20261875.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,64.0,20261876.0,1.0,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,65.0,20261877.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
